inspection_id,inspection_date,inspection_time,inspection_result,image_path
1,20240808,185813,GOOD,/home/komputer/Desktop/thrust_bearing_app/python-backend/Downloads/Deteksi_oke/GOOD_20240808_185813.jpg
2,20250513,152840,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG1/NG_20250513_152840.jpg
3,20250513,152850,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG1/NG_20250513_152850.jpg
4,20250513,152941,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG1/NG_20250513_152941.jpg
5,20250513,152947,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG1/NG_20250513_152947.jpg
6,20250513,152958,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG4/NG_20250513_152958.jpg
7,20250513,153011,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG1/NG_20250513_153011.jpg
8,20250513,153037,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG1/NG_20250513_153037.jpg
9,20250527,132625,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG3/NG_20250527_132625.jpg
10,20250527,132640,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG3/NG_20250527_132640.jpg
11,20250527,132710,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG2/NG_20250527_132710.jpg
12,20250527,132723,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG2/NG_20250527_132723.jpg
13,20250527,132737,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG3/NG_20250527_132737.jpg
14,20250527,132922,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20250527_132922.jpg
15,20250527,132957,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20250527_132957.jpg
16,20260902,152347,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_152347.jpg
17,20260902,152400,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG3/NG_20260902_152400.jpg
18,20260902,154040,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG3/NG_20260902_154040.jpg
19,20260902,154055,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG3/NG_20260902_154055.jpg
20,20260902,154149,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_154149.jpg
21,20260902,154209,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_154209.jpg
22,20260902,154221,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_154221.jpg
23,20260902,154258,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_154258.jpg
24,20260902,154304,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_154304.jpg
25,20260902,154311,NG,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/not_good_NG3/NG_20260902_154311.jpg
26,20260902,154321,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_154321.jpg
27,20260902,154327,GOOD,/home/kaizen/Desktop/demo_ai/be-demo-ai-thrust-bearing/Downloads/bearing_complete/GOOD_20260902_154327.jpg
