                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6458,                 2.2276,                 1.1993,                 0.9958,                      1,                  0.995,                 0.6831,                 1.1324,                0.97241,                0.96471,              0.0033121,              0.0033121,              0.0033121
                      2,                 1.3198,                 1.0484,                 1.0321,                0.99446,                      1,                  0.995,                0.69666,                 1.0331,                0.78891,                0.95556,              0.0066389,              0.0066389,              0.0066389
                      3,                 1.2559,                 0.9326,                 1.0059,                 0.9992,                      1,                  0.995,                0.72523,                 1.0114,                0.69736,                0.98431,               0.009959,               0.009959,               0.009959
                      4,                 1.2247,                 0.7964,                 1.0008,                0.99852,                      1,                  0.995,                0.66327,                 1.2193,                0.60581,                 1.0519,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.1731,                0.68274,                0.98256,                0.99686,                      1,                  0.995,                0.70195,                 1.0771,                0.54795,                0.99533,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.1408,                0.61139,                0.98381,                0.99754,                      1,                  0.995,                0.74232,                0.97478,                0.47406,                0.96174,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1133,                0.57129,                0.97326,                0.99891,                      1,                  0.995,                0.73416,                0.99779,                0.46603,                0.98951,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0864,                0.54744,                0.97025,                0.99901,                      1,                  0.995,                0.72994,                  1.019,                0.44124,                 0.9805,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0792,                0.53232,                0.97207,                0.99933,                      1,                  0.995,                0.75023,                0.94374,                0.43454,                0.95662,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0602,                0.51515,                0.96396,                0.99905,                      1,                  0.995,                0.77234,                0.89086,                0.40933,                0.94809,              0.0099109,              0.0099109,              0.0099109
                     11,                  1.045,                0.49772,                0.96514,                0.99913,                      1,                  0.995,                 0.7491,                0.93193,                0.41695,                0.96314,               0.009901,               0.009901,               0.009901
                     12,                 1.0356,                 0.4869,                0.96272,                0.99848,                      1,                  0.995,                0.73082,                 1.0249,                0.42838,                 1.0133,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.0305,                0.48223,                0.95834,                 0.9991,                      1,                  0.995,                  0.732,                  1.056,                0.43849,                 1.0136,              0.0098812,              0.0098812,              0.0098812
