                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1194,                 5.4295,                 3.1486,                0.54937,                0.71641,                0.69654,                0.31447,                 2.0363,                 1.6886,                 1.7074,              0.0033121,              0.0033121,              0.0033121
                      2,                 1.7592,                 1.5977,                 1.4255,                0.96521,                0.97633,                0.98946,                0.60326,                 1.4119,                 0.9014,                 1.2606,              0.0066389,              0.0066389,              0.0066389
                      3,                 1.5534,                 1.2337,                 1.2146,                0.99203,                      1,                0.99493,                 0.5491,                 1.5322,                 1.0045,                 1.2779,               0.009959,               0.009959,               0.009959
                      4,                 1.3751,                0.96703,                 1.1016,                0.99891,                      1,                  0.995,                0.61521,                 1.4087,                0.72071,                 1.1515,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.2447,                0.76318,                 1.0328,                0.99875,                      1,                  0.995,                0.68884,                 1.1197,                0.62312,                 1.0459,              0.0099604,              0.0099604,              0.0099604
                      6,                  1.155,                0.67504,                 1.0014,                0.99872,                      1,                  0.995,                0.72159,                 1.0616,                0.52554,                 1.0127,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1019,                0.61755,                0.98131,                0.99848,                      1,                  0.995,                0.72087,                 1.0331,                0.50694,                0.99412,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0737,                 0.5643,                0.97233,                0.99875,                      1,                  0.995,                0.71656,                 1.0279,                 0.4925,                 1.0005,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0463,                0.53738,                0.96679,                0.99866,                      1,                  0.995,                0.72012,                 1.0245,                 0.4731,                 1.0002,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0209,                 0.5224,                0.95781,                0.99928,                      1,                  0.995,                0.74851,                0.99193,                0.46688,                0.99447,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0186,                0.50407,                0.95385,                0.99867,                      1,                  0.995,                0.74073,                 1.0182,                0.44783,                0.98182,               0.009901,               0.009901,               0.009901
                     12,                0.99607,                0.49027,                0.95268,                0.99883,                      1,                  0.995,                0.75205,                  1.007,                0.44619,                0.98095,              0.0098911,              0.0098911,              0.0098911
                     13,                0.99269,                0.48217,                0.94927,                0.99902,                      1,                  0.995,                0.75535,                0.95065,                0.42859,                0.97427,              0.0098812,              0.0098812,              0.0098812
                     14,                0.97743,                0.47886,                0.94255,                0.99885,                      1,                  0.995,                0.75776,                0.94583,                0.40184,                0.97791,              0.0098713,              0.0098713,              0.0098713
                     15,                0.96889,                0.46113,                0.94094,                0.99872,                      1,                  0.995,                 0.7569,                 0.9139,                0.40004,                0.95993,              0.0098614,              0.0098614,              0.0098614
                     16,                0.95567,                0.45603,                 0.9354,                0.99925,                      1,                  0.995,                0.75711,                0.92976,                0.38715,                0.96683,              0.0098515,              0.0098515,              0.0098515
                     17,                0.95604,                0.45545,                0.93989,                0.99918,                      1,                  0.995,                0.76383,                0.92577,                0.38333,                0.96908,              0.0098416,              0.0098416,              0.0098416
                     18,                0.94453,                0.45204,                0.93043,                0.99907,                      1,                  0.995,                0.75399,                0.93743,                0.38864,                0.96828,              0.0098317,              0.0098317,              0.0098317
                     19,                 0.9485,                0.44441,                0.93414,                0.99885,                      1,                  0.995,                 0.7689,                0.91249,                0.39156,                0.96411,              0.0098218,              0.0098218,              0.0098218
                     20,                0.94378,                0.44516,                 0.9309,                0.99936,                      1,                  0.995,                0.75944,                0.92756,                0.37829,                0.97329,              0.0098119,              0.0098119,              0.0098119
                     21,                0.93307,                0.43369,                0.92698,                0.99933,                      1,                  0.995,                 0.7629,                 0.9328,                0.37775,                0.97191,               0.009802,               0.009802,               0.009802
                     22,                0.92743,                0.43181,                0.92703,                0.99935,                      1,                  0.995,                0.75959,                0.96455,                0.36662,                0.98626,              0.0097921,              0.0097921,              0.0097921
                     23,                0.91562,                0.42819,                0.92935,                0.99907,                      1,                  0.995,                 0.7637,                0.91827,                0.37516,                0.96831,              0.0097822,              0.0097822,              0.0097822
                     24,                0.91482,                0.42533,                0.92382,                0.99932,                      1,                  0.995,                0.77198,                0.93704,                0.37012,                0.96661,              0.0097723,              0.0097723,              0.0097723
                     25,                0.91365,                0.41768,                0.92176,                0.99902,                      1,                  0.995,                0.77614,                 0.9299,                0.37348,                0.96637,              0.0097624,              0.0097624,              0.0097624
                     26,                0.92081,                0.42016,                0.92399,                0.99906,                      1,                  0.995,                 0.7613,                0.93633,                0.36287,                0.96515,              0.0097525,              0.0097525,              0.0097525
                     27,                0.90085,                0.41631,                0.92212,                0.99929,                      1,                  0.995,                0.77762,                0.90946,                0.35921,                0.95249,              0.0097426,              0.0097426,              0.0097426
                     28,                0.91637,                0.41435,                0.92077,                 0.9991,                      1,                  0.995,                0.78058,                0.92107,                0.36484,                 0.9678,              0.0097327,              0.0097327,              0.0097327
                     29,                0.90555,                0.41073,                0.92319,                0.99935,                      1,                  0.995,                0.76846,                0.92397,                0.34948,                0.97135,              0.0097228,              0.0097228,              0.0097228
                     30,                0.90596,                0.40788,                0.91949,                0.99918,                      1,                  0.995,                0.77822,                0.88908,                0.34192,                0.95994,              0.0097129,              0.0097129,              0.0097129
                     31,                0.90333,                0.40919,                0.92164,                0.99921,                      1,                  0.995,                0.76598,                  0.923,                0.34792,                0.96084,               0.009703,               0.009703,               0.009703
                     32,                0.90561,                0.40538,                0.92143,                0.99917,                      1,                  0.995,                0.78548,                0.88758,                0.33678,                0.95901,              0.0096931,              0.0096931,              0.0096931
                     33,                 0.8972,                0.40368,                0.91739,                0.99898,                      1,                  0.995,                0.78428,                0.89877,                0.35818,                0.95762,              0.0096832,              0.0096832,              0.0096832
                     34,                0.90093,                0.40353,                0.91997,                0.99916,                      1,                  0.995,                0.78624,                0.87361,                0.33428,                0.94543,              0.0096733,              0.0096733,              0.0096733
