                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4626,                 2.1819,                  1.102,                0.99498,                      1,                  0.995,                0.70755,                 1.0353,                 1.0463,                0.93115,              0.0033121,              0.0033121,              0.0033121
                      2,                 1.1183,                 0.9972,                 0.9408,                0.99646,                      1,                  0.995,                0.72222,                 1.0306,                0.71876,                0.97243,              0.0066389,              0.0066389,              0.0066389
                      3,                 1.1188,                0.89884,                0.94978,                0.99741,                      1,                  0.995,                 0.7274,                0.99861,                0.68519,                0.98473,               0.009959,               0.009959,               0.009959
                      4,                 1.0925,                0.75226,                0.94828,                0.99915,                      1,                  0.995,                0.71394,                 1.0472,                0.70077,                 1.0018,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0434,                0.62369,                0.94027,                0.99929,                      1,                  0.995,                0.70819,                 1.0402,                0.51116,                0.98202,              0.0099604,              0.0099604,              0.0099604
                      6,                0.99602,                0.56529,                0.93515,                0.99937,                      1,                  0.995,                0.74308,                 0.9547,                0.53042,                0.97905,              0.0099505,              0.0099505,              0.0099505
                      7,                 0.9808,                0.52485,                0.93008,                0.99848,                      1,                  0.995,                0.73515,                0.97146,                0.43085,                0.97823,              0.0099406,              0.0099406,              0.0099406
                      8,                0.97104,                0.49243,                0.93242,                0.99848,                      1,                  0.995,                0.74328,                0.96143,                0.40041,                0.97863,              0.0099307,              0.0099307,              0.0099307
                      9,                0.95871,                0.48407,                0.93555,                0.99889,                      1,                  0.995,                0.73874,                 0.9644,                0.41328,                0.97383,              0.0099208,              0.0099208,              0.0099208
                     10,                0.95155,                0.46608,                0.93147,                0.99891,                      1,                  0.995,                 0.7382,                0.98111,                0.40604,                0.97988,              0.0099109,              0.0099109,              0.0099109
                     11,                0.93953,                0.46053,                0.93171,                0.99926,                      1,                  0.995,                0.76005,                0.97493,                0.39705,                0.96508,               0.009901,               0.009901,               0.009901
                     12,                 0.9425,                0.45225,                0.93081,                0.99925,                      1,                  0.995,                 0.7609,                0.94241,                0.37616,                0.95516,              0.0098911,              0.0098911,              0.0098911
                     13,                0.93076,                0.44611,                0.92745,                0.99871,                      1,                  0.995,                 0.7738,                0.91836,                0.39851,                0.96537,              0.0098812,              0.0098812,              0.0098812
                     14,                0.93017,                0.44448,                0.92472,                0.99893,                      1,                  0.995,                 0.7616,                 0.9335,                0.36254,                0.95853,              0.0098713,              0.0098713,              0.0098713
                     15,                0.91699,                0.43041,                0.92214,                 0.9993,                      1,                  0.995,                0.76583,                0.90349,                0.35448,                0.95315,              0.0098614,              0.0098614,              0.0098614
                     16,                 0.9121,                0.42529,                0.92044,                0.99909,                      1,                  0.995,                0.75705,                0.91613,                0.35925,                0.96188,              0.0098515,              0.0098515,              0.0098515
                     17,                0.91147,                0.42593,                0.92357,                0.99935,                      1,                  0.995,                0.75497,                0.96219,                0.36986,                0.97419,              0.0098416,              0.0098416,              0.0098416
                     18,                0.90294,                0.42181,                0.91336,                0.99879,                      1,                  0.995,                0.76774,                0.90533,                0.35118,                0.95186,              0.0098317,              0.0098317,              0.0098317
                     19,                0.90826,                0.41604,                0.91988,                0.99892,                      1,                  0.995,                0.77105,                0.90767,                0.36308,                0.95726,              0.0098218,              0.0098218,              0.0098218
                     20,                0.90446,                0.41759,                0.91549,                 0.9991,                      1,                  0.995,                0.76936,                 0.9253,                0.36344,                0.97057,              0.0098119,              0.0098119,              0.0098119
                     21,                0.90081,                0.40989,                 0.9166,                0.99849,                      1,                  0.995,                0.76551,                0.94626,                0.35995,                0.96953,               0.009802,               0.009802,               0.009802
                     22,                0.89167,                0.40706,                0.91369,                0.99935,                      1,                  0.995,                0.76606,                0.92268,                0.35521,                0.96788,              0.0097921,              0.0097921,              0.0097921
                     23,                0.88485,                 0.3992,                0.91758,                0.99924,                      1,                  0.995,                0.76857,                0.94922,                0.34618,                0.97319,              0.0097822,              0.0097822,              0.0097822
                     24,                 0.8801,                0.39797,                0.91085,                0.99924,                      1,                  0.995,                0.77414,                0.95415,                0.34764,                0.96821,              0.0097723,              0.0097723,              0.0097723
                     25,                0.88077,                0.39582,                0.91118,                0.99925,                      1,                  0.995,                0.76489,                0.91399,                0.33075,                0.96299,              0.0097624,              0.0097624,              0.0097624
                     26,                 0.8903,                0.40098,                0.91308,                0.99924,                      1,                  0.995,                0.78366,                0.89572,                0.34717,                0.95301,              0.0097525,              0.0097525,              0.0097525
                     27,                0.87011,                0.39674,                0.91041,                0.99925,                      1,                  0.995,                 0.7646,                0.91367,                0.34505,                0.95157,              0.0097426,              0.0097426,              0.0097426
                     28,                0.88141,                0.39761,                0.90962,                0.99935,                      1,                  0.995,                  0.769,                0.89945,                0.34763,                0.95939,              0.0097327,              0.0097327,              0.0097327
                     29,                0.87716,                0.38965,                0.91262,                0.99923,                      1,                  0.995,                0.78271,                0.89934,                0.33323,                0.95301,              0.0097228,              0.0097228,              0.0097228
                     30,                0.87293,                0.38843,                0.90848,                0.99923,                      1,                  0.995,                0.78738,                0.90687,                0.32614,                0.96121,              0.0097129,              0.0097129,              0.0097129
                     31,                0.87168,                0.39343,                0.90991,                0.99929,                      1,                  0.995,                 0.7795,                0.91305,                0.33894,                0.95764,               0.009703,               0.009703,               0.009703
                     32,                0.87619,                0.38599,                0.91036,                0.99917,                      1,                  0.995,                0.77032,                 0.8986,                0.32916,                0.96793,              0.0096931,              0.0096931,              0.0096931
                     33,                0.86294,                0.38918,                0.90608,                0.99932,                      1,                  0.995,                0.79202,                0.88171,                0.33712,                0.94613,              0.0096832,              0.0096832,              0.0096832
                     34,                0.86984,                 0.3843,                0.90935,                0.99893,                      1,                  0.995,                0.75796,                0.90311,                0.34056,                 0.9574,              0.0096733,              0.0096733,              0.0096733
                     35,                0.86042,                0.38661,                0.90618,                0.99919,                      1,                  0.995,                0.78252,                0.87391,                0.32347,                0.94729,              0.0096634,              0.0096634,              0.0096634
                     36,                 0.8645,                0.38139,                0.90691,                0.99889,                      1,                  0.995,                0.78081,                0.88308,                0.32132,                0.95085,              0.0096535,              0.0096535,              0.0096535
                     37,                0.85552,                  0.378,                0.91036,                0.99928,                      1,                  0.995,                0.75556,                  0.926,                0.33476,                0.97381,              0.0096436,              0.0096436,              0.0096436
                     38,                0.85332,                0.38026,                0.90582,                0.99936,                      1,                  0.995,                0.77307,                0.91645,                0.33302,                 0.9664,              0.0096337,              0.0096337,              0.0096337
                     39,                0.85308,                0.37841,                0.90772,                0.99908,                      1,                  0.995,                0.77862,                 0.8698,                0.31687,                0.94635,              0.0096238,              0.0096238,              0.0096238
                     40,                0.84997,                0.37418,                0.90787,                0.99928,                      1,                  0.995,                0.77721,                0.90434,                0.33217,                0.95723,              0.0096139,              0.0096139,              0.0096139
                     41,                0.85704,                0.37363,                0.90929,                0.99934,                      1,                  0.995,                0.78744,                0.88916,                0.33247,                0.95564,               0.009604,               0.009604,               0.009604
                     42,                 0.8438,                0.36888,                0.90357,                0.99927,                      1,                  0.995,                0.77681,                0.89795,                0.32314,                 0.9563,              0.0095941,              0.0095941,              0.0095941
                     43,                0.84641,                0.36842,                0.90518,                0.99937,                      1,                  0.995,                 0.7799,                0.90853,                0.33511,                0.95729,              0.0095842,              0.0095842,              0.0095842
                     44,                0.86524,                0.37243,                0.91097,                0.99914,                      1,                  0.995,                0.77169,                0.88828,                0.32006,                 0.9459,              0.0095743,              0.0095743,              0.0095743
                     45,                0.84641,                 0.3767,                  0.905,                0.99917,                      1,                  0.995,                 0.7798,                0.88441,                0.32098,                0.94847,              0.0095644,              0.0095644,              0.0095644
                     46,                0.84521,                0.37352,                0.90248,                0.99934,                      1,                  0.995,                0.76724,                0.92002,                0.33296,                0.96328,              0.0095545,              0.0095545,              0.0095545
                     47,                0.84611,                0.37092,                0.90495,                0.99935,                      1,                  0.995,                0.77054,                0.93256,                0.31749,                0.97536,              0.0095446,              0.0095446,              0.0095446
                     48,                0.83787,                0.36366,                0.90577,                0.99928,                      1,                  0.995,                0.77892,                0.90071,                0.31935,                0.96063,              0.0095347,              0.0095347,              0.0095347
                     49,                0.84433,                0.37075,                0.90597,                0.99939,                      1,                  0.995,                0.78669,                0.90856,                0.31137,                0.96062,              0.0095248,              0.0095248,              0.0095248
