                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4675,                 1.7106,                 1.0891,                0.99595,                      1,                  0.995,                0.73532,                0.99687,                0.67408,                   0.94,              0.0033121,              0.0033121,              0.0033121
                      2,                0.96818,                0.67656,                0.90776,                0.99875,                      1,                  0.995,                  0.744,                0.95216,                0.46569,                0.93494,              0.0066389,              0.0066389,              0.0066389
                      3,                0.93555,                0.56408,                0.90038,                0.99894,                      1,                  0.995,                 0.7512,                0.96169,                0.49577,                0.94363,               0.009959,               0.009959,               0.009959
                      4,                0.93251,                0.49807,                0.90062,                 0.9983,                      1,                  0.995,                 0.7586,                 0.9378,                0.41877,                0.94132,              0.0099703,              0.0099703,              0.0099703
                      5,                0.91745,                0.45109,                0.89975,                0.99928,                      1,                  0.995,                0.76148,                0.95985,                0.40427,                0.94004,              0.0099604,              0.0099604,              0.0099604
                      6,                0.90169,                 0.4357,                0.89829,                0.99918,                      1,                  0.995,                 0.7766,                0.91397,                0.36486,                0.93432,              0.0099505,              0.0099505,              0.0099505
                      7,                0.89527,                0.42401,                0.89623,                0.99801,                      1,                  0.995,                0.76877,                0.91915,                0.37928,                0.94252,              0.0099406,              0.0099406,              0.0099406
                      8,                0.88561,                0.41283,                0.89477,                0.99902,                      1,                  0.995,                0.77817,                0.93306,                0.35841,                0.93807,              0.0099307,              0.0099307,              0.0099307
                      9,                0.87963,                0.40894,                0.89618,                0.99938,                      1,                  0.995,                0.76724,                0.91445,                0.35546,                 0.9404,              0.0099208,              0.0099208,              0.0099208
                     10,                0.88479,                0.40432,                0.89512,                0.99925,                      1,                  0.995,                0.78545,                0.88111,                0.35006,                0.92708,              0.0099109,              0.0099109,              0.0099109
                     11,                0.88159,                0.39851,                0.89583,                0.99888,                      1,                  0.995,                0.78632,                0.89097,                0.35547,                 0.9245,               0.009901,               0.009901,               0.009901
                     12,                 0.8742,                 0.3923,                0.89549,                0.99924,                      1,                  0.995,                0.78213,                0.89531,                0.34396,                0.92292,              0.0098911,              0.0098911,              0.0098911
